"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00021141",340,4,4,5,5,3,5,6,7,3,1,4,2,2,6,8,4,6,5,7,10,7,6,10,8,11,7,4,2,8,9,8,7,4,4,7,1,6,2,5,3,1,2,4,3,3,2,0,1,6,2,4,5,5,4,5,8,1,2,2,2,3,0,1,0,3,0,2,2,2,5,3,3,2,5,1,2,2,1,4,5,4,0,1,1,5,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
"E00021143",393,5,5,15,7,5,3,3,6,10,5,4,9,6,11,4,10,6,2,1,5,4,5,8,12,13,14,8,8,9,7,9,7,8,7,6,6,6,7,5,9,6,5,2,2,2,4,5,5,5,0,4,5,5,5,3,2,2,5,2,0,3,2,0,1,1,3,1,2,2,2,0,0,0,3,0,0,2,1,2,1,3,0,1,5,0,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"E00021145",256,1,2,3,4,1,2,1,2,0,3,1,2,1,1,2,2,0,3,2,1,0,5,1,6,7,4,8,4,3,5,5,2,6,7,10,5,5,9,5,7,6,1,5,6,7,2,6,10,4,4,7,5,4,0,2,3,6,0,3,3,2,6,3,4,1,1,2,1,0,0,0,1,2,0,0,0,0,2,1,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"E00021146",462,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,6,34,47,48,33,24,13,15,20,22,22,24,18,15,18,12,8,10,12,4,4,9,2,4,2,1,2,1,1,3,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021147",210,2,6,2,2,5,0,3,2,2,3,1,1,1,2,4,5,3,2,6,5,4,3,0,4,4,3,5,9,9,1,6,4,2,0,2,0,1,2,5,3,4,4,3,4,5,3,7,3,8,4,1,2,4,1,3,1,2,0,2,1,2,1,1,2,0,0,1,1,2,0,2,0,4,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00021148",279,3,4,3,3,4,2,2,1,3,4,1,4,0,5,3,4,2,1,0,0,9,5,2,7,10,10,11,9,11,7,9,9,14,7,5,3,6,8,1,5,4,2,3,0,0,2,0,2,2,3,2,0,5,1,1,1,7,2,2,6,2,0,1,3,3,6,2,3,0,0,2,0,2,0,2,0,0,1,1,2,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"E00021149",353,5,5,7,7,7,8,10,3,13,3,14,5,7,5,6,8,5,2,6,6,2,3,3,5,7,7,9,5,7,6,9,8,6,11,5,11,3,14,4,5,9,2,7,1,0,1,4,3,4,3,2,5,6,0,1,3,2,1,0,1,0,5,1,3,4,2,3,0,2,0,3,1,0,0,1,0,1,1,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021150",298,0,2,8,6,4,7,6,3,8,1,4,1,4,6,2,1,5,2,0,2,1,1,6,11,11,7,6,7,12,7,6,9,8,5,4,5,6,8,2,5,5,1,2,8,3,2,5,3,2,1,3,3,4,2,1,6,0,1,3,4,3,0,3,3,3,1,3,1,3,0,2,0,2,2,2,1,1,2,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
"E00021151",275,2,3,0,2,1,0,5,6,3,1,7,3,6,6,7,10,5,4,5,3,5,4,8,5,7,5,6,6,4,2,1,7,5,4,2,3,4,2,3,4,0,4,7,2,3,5,3,4,4,1,3,5,7,4,4,2,4,2,4,2,1,1,2,2,0,1,1,3,1,0,1,3,0,0,4,0,0,4,3,2,2,2,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"E00021152",379,8,5,5,2,6,8,1,4,8,6,6,5,7,5,11,5,7,3,4,7,10,9,7,8,6,6,10,8,7,7,9,6,9,8,3,7,12,2,9,6,5,5,4,2,7,4,4,7,5,5,1,3,2,4,7,4,1,3,0,3,2,2,3,0,3,2,0,2,4,0,1,3,4,1,3,2,0,0,1,0,0,0,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
