"GeographyCode","QS102EW0001","QS102EW0002","QS102EW0003"
"E00021141",340,2,170
"E00021143",393,1.83,214.7540984
"E00021145",256,1.81,141.4364641
"E00021146",462,1.4,330
"E00021147",210,1.63,128.8343558
"E00021148",279,2.51,111.1553785
"E00021149",353,1.11,318.018018
"E00021150",298,1.19,250.4201681
"E00021151",275,0.96,286.4583333
"E00021152",379,1.76,215.3409091
"E00021153",344,1.29,266.6666667
"E00021154",401,1.76,227.8409091
"E00021155",359,1.28,280.46875
"E00021156",237,2.33,101.7167382
"E00021157",331,1.11,298.1981982
"E00021158",340,1,340
"E00021159",571,2.88,198.2638889
"E00021160",322,1.95,165.1282051
"E00021161",391,2.26,173.0088496
"E00021162",375,1.47,255.1020408
"E00021163",353,3.5,100.8571429
"E00021164",279,0.31,900
"E00021165",338,2.72,124.2647059
"E00021166",387,1.19,325.210084
"E00021167",305,2.14,142.5233645
"E00021168",374,2.98,125.5033557
"E00021169",467,1.85,252.4324324
"E00021170",466,1.42,328.1690141
"E00021171",660,3.98,165.8291457
"E00021172",281,2.83,99.29328622
"E00021173",372,1.81,205.5248619
"E00021174",228,0.78,292.3076923
"E00021175",300,4.88,61.47540984
"E00021176",298,1.58,188.6075949
"E00021177",425,1.25,340
"E00021179",327,1.72,190.1162791
"E00021180",444,4.61,96.31236443
"E00021181",230,1.44,159.7222222
"E00021182",343,4.48,76.5625
"E00021183",231,1.93,119.6891192
"E00021184",169,0.44,384.0909091
"E00021185",304,1.92,158.3333333
"E00021186",440,1.81,243.0939227
"E00021187",307,4.09,75.06112469
"E00021188",302,1.75,172.5714286
"E00021189",397,2.27,174.8898678
"E00021190",476,3.44,138.372093
"E00021191",396,3.02,131.1258278
"E00021192",329,0.95,346.3157895
"E00021193",323,3.69,87.53387534
"E00021194",563,2.45,229.7959184
"E00021195",392,2.26,173.4513274
"E00021196",381,0.51,747.0588235
"E00021197",519,2.88,180.2083333
"E00021198",313,0.92,340.2173913
"E00021199",182,0.3,606.6666667
"E00021200",322,1.95,165.1282051
"E00021201",321,3.57,89.91596639
"E00021202",285,1.23,231.7073171
"E00021203",246,1.59,154.7169811
"E00021204",401,5.75,69.73913043
"E00021205",336,1.04,323.0769231
"E00021206",239,0.85,281.1764706
"E00021207",258,2.88,89.58333333
"E00021208",299,1.51,198.013245
"E00021209",246,0.54,455.5555556
"E00021210",289,1.14,253.5087719
"E00021211",372,1.11,335.1351351
"E00021212",270,1.09,247.706422
"E00021213",415,1.01,410.8910891
"E00021214",511,1.68,304.1666667
"E00021215",454,4.31,105.3364269
"E00021216",326,2.66,122.556391
"E00021217",524,1.92,272.9166667
"E00021218",491,7.5,65.46666667
"E00021219",250,11.16,22.40143369
"E00021220",348,3.62,96.13259669
"E00021223",388,2.94,131.9727891
"E00021224",409,6.29,65.02384738
"E00021225",292,1.93,151.2953368
"E00021227",269,21.74,12.37350506
"E00021228",359,2.31,155.4112554
"E00021229",309,1.06,291.509434
"E00021230",248,1.85,134.0540541
"E00021231",210,1.45,144.8275862
"E00021235",368,0.18,2044.444444
"E00021236",324,4.2,77.14285714
"E00021238",398,15.7,25.35031847
"E00021239",286,7.78,36.76092545
"E00021240",304,3.26,93.25153374
"E00021241",274,1.6,171.25
"E00021243",398,1.85,215.1351351
"E00021244",254,1.62,156.7901235
"E00021245",246,2.31,106.4935065
"E00021246",517,3.66,141.2568306
"E00021247",402,1.22,329.5081967
"E00021248",380,1.21,314.0495868
"E00021249",329,1.09,301.8348624
"E00021251",292,1.91,152.8795812
"E00021252",267,1.85,144.3243243
"E00021253",304,1.58,192.4050633
"E00021254",237,1.89,125.3968254
"E00021255",221,0.84,263.0952381
"E00021256",242,0.88,275
"E00021257",242,1.49,162.4161074
"E00021258",360,1.68,214.2857143
"E00021259",399,1.68,237.5
"E00021260",320,2.83,113.0742049
"E00021261",278,1.34,207.4626866
"E00021262",305,1.77,172.3163842
"E00021263",401,3.83,104.6997389
"E00021266",281,25.43,11.04994101
"E00021267",329,3.55,92.67605634
"E00021268",253,1.24,204.0322581
"E00021271",392,1.66,236.1445783
"E00021272",221,4.03,54.83870968
"E00021273",286,1.94,147.4226804
"E00021274",549,2.07,265.2173913
"E00021275",259,1.25,207.2
"E00021277",249,1.61,154.6583851
"E00021278",199,1.55,128.3870968
"E00021279",444,1.85,240
"E00021280",287,2.31,124.2424242
"E00021281",531,4.43,119.8645598
"E00021282",407,1.88,216.4893617
"E00021285",123,2.02,60.89108911
"E00021286",230,1.52,151.3157895
"E00021287",278,0.7,397.1428571
"E00021288",239,0.78,306.4102564
"E00021289",330,0.24,1375
"E00021290",342,1.31,261.0687023
"E00021291",374,0.14,2671.428571
"E00021292",312,1.19,262.1848739
"E00021294",578,1.25,462.4
"E00021295",379,44.32,8.551444043
"E00021296",341,5.11,66.73189824
"E00021297",418,2.98,140.2684564
"E00021298",417,3.14,132.8025478
"E00021299",438,2.77,158.1227437
"E00021300",492,4.64,106.0344828
"E00021301",522,2.3,226.9565217
"E00021302",463,4.11,112.6520681
"E00021303",349,1.71,204.0935673
"E00021304",361,7.5,48.13333333
"E00021305",255,1.99,128.1407035
"E00021306",264,4.87,54.20944559
"E00021307",470,9.15,51.36612022
"E00021308",448,3.55,126.1971831
"E00021309",189,2.27,83.25991189
"E00021310",259,1.91,135.6020942
"E00021311",335,0.97,345.3608247
"E00021312",316,1.98,159.5959596
"E00021313",484,2.48,195.1612903
"E00021314",370,1.75,211.4285714
"E00021315",138,0.83,166.2650602
"E00021316",322,1.09,295.412844
"E00021317",328,1.67,196.4071856
"E00021318",303,1.71,177.1929825
"E00021319",330,1.61,204.9689441
"E00021320",322,2.42,133.0578512
"E00021321",302,2.22,136.036036
"E00021322",315,1.12,281.25
"E00021323",374,2.83,132.155477
"E00021324",380,1.71,222.2222222
"E00021325",413,1.63,253.3742331
"E00021326",433,1.07,404.6728972
"E00021327",397,2.42,164.0495868
"E00021328",434,1.6,271.25
"E00021329",398,4.46,89.23766816
"E00021330",334,3.43,97.37609329
"E00021331",200,1.22,163.9344262
"E00021332",491,2.65,185.2830189
"E00021333",351,1.6,219.375
"E00021334",377,3.36,112.202381
"E00021335",564,3.3,170.9090909
"E00021336",300,1.56,192.3076923
"E00021337",339,2.82,120.212766
"E00021338",452,2.14,211.2149533
"E00021339",331,2.6,127.3076923
"E00021340",383,2.32,165.0862069
"E00021342",342,0.25,1368
"E00021344",534,5.33,100.1876173
"E00021345",348,0.66,527.2727273
"E00021346",341,1.23,277.2357724
"E00021347",408,0.74,551.3513514
"E00021349",399,1.55,257.4193548
"E00021350",354,3.87,91.47286822
"E00021351",381,1.07,356.0747664
"E00021352",284,0.46,617.3913043
"E00021353",308,0.89,346.0674157
"E00021354",463,3.69,125.4742547
"E00021355",300,2.19,136.9863014
"E00021357",412,1.04,396.1538462
"E00021359",369,1.19,310.0840336
"E00021360",450,1.62,277.7777778
"E00021361",371,0.81,458.0246914
"E00021363",389,1.93,201.5544041
"E00021364",570,4.25,134.1176471
"E00021365",282,1.46,193.1506849
"E00021366",371,1.77,209.6045198
"E00021367",318,1.98,160.6060606
"E00021368",399,0.48,831.25
"E00021369",232,1.59,145.9119497
"E00021370",616,13.55,45.46125461
"E00021371",199,1.27,156.6929134
"E00021372",385,3.03,127.0627063
"E00021374",420,2.99,140.4682274
"E00021375",389,3.18,122.327044
"E00021376",384,4.13,92.97820823
"E00021377",586,4.06,144.3349754
"E00021378",424,3.64,116.4835165
"E00021379",283,2.89,97.92387543
"E00021380",329,2.88,114.2361111
"E00021381",410,5.94,69.02356902
"E00021382",411,1.58,260.1265823
"E00021383",523,3.17,164.9842271
"E00021384",220,1.31,167.9389313
"E00021385",433,5.26,82.31939163
"E00021386",360,2.31,155.8441558
"E00021387",664,3.2,207.5
"E00021388",330,3.88,85.05154639
"E00021391",492,4.82,102.0746888
"E00021392",369,6.5,56.76923077
"E00021393",423,2.57,164.5914397
"E00021394",358,1.42,252.1126761
"E00021395",336,0.96,350
"E00021396",351,1.15,305.2173913
"E00021397",566,2.82,200.7092199
"E00021398",474,4.68,101.2820513
"E00021399",371,3.13,118.5303514
"E00021400",394,4.85,81.2371134
"E00021402",276,1.17,235.8974359
"E00021404",256,1.94,131.9587629
"E00021405",429,7.53,56.97211155
"E00021406",371,1.76,210.7954545
"E00021407",540,2.33,231.7596567
"E00021408",340,4.45,76.40449438
"E00021409",274,2.08,131.7307692
"E00021410",316,2.58,122.4806202
"E00021411",389,1.59,244.6540881
"E00021412",514,1.3,395.3846154
"E00021413",413,1.1,375.4545455
"E00021414",402,1.2,335
"E00021415",379,1.8,210.5555556
"E00021416",369,2.53,145.8498024
"E00021417",275,2.09,131.5789474
"E00021418",213,0.77,276.6233766
"E00021419",446,1.11,401.8018018
"E00021420",285,2.49,114.4578313
"E00021421",448,2.14,209.3457944
"E00021422",209,3.83,54.5691906
"E00021423",417,1.7,245.2941176
"E00021424",212,1.13,187.6106195
"E00021425",232,1.88,123.4042553
"E00021426",349,2.23,156.5022422
"E00021427",229,0.66,346.969697
"E00021428",393,1.58,248.7341772
"E00021429",141,2.92,48.28767123
"E00021430",331,2.87,115.3310105
"E00021431",319,1.81,176.2430939
"E00021432",387,2.17,178.3410138
"E00021433",624,3.64,171.4285714
"E00021434",421,2.24,187.9464286
"E00021437",318,1.17,271.7948718
"E00021438",210,1.17,179.4871795
"E00021439",236,1.22,193.442623
"E00021440",451,3.21,140.4984424
"E00021441",358,1.85,193.5135135
"E00021442",335,1.97,170.0507614
"E00021443",265,2.08,127.4038462
"E00021444",348,4.43,78.55530474
"E00021445",422,1.31,322.1374046
"E00021446",448,0.54,829.6296296
"E00021447",266,1.28,207.8125
"E00021448",337,1.01,333.6633663
"E00021449",333,1.86,179.0322581
"E00021450",187,1.12,166.9642857
"E00021451",400,1.59,251.572327
"E00021452",212,0.94,225.5319149
"E00021453",310,2.39,129.707113
"E00021454",357,0.99,360.6060606
"E00021455",346,1.01,342.5742574
"E00021458",288,4.76,60.50420168
"E00021459",256,0.74,345.9459459
"E00021460",385,1.15,334.7826087
"E00021461",250,0.8,312.5
"E00021462",314,1.84,170.6521739
"E00021463",338,1.04,325
"E00021464",279,2.16,129.1666667
"E00021465",416,1.41,295.035461
"E00021466",735,5.13,143.2748538
"E00021467",371,2.62,141.6030534
"E00021468",265,3.72,71.23655914
"E00021469",446,2.36,188.9830508
"E00021470",282,2.94,95.91836735
"E00021471",373,1.74,214.3678161
"E00021473",422,1.74,242.5287356
"E00021474",402,1.11,362.1621622
"E00021475",377,2.18,172.9357798
"E00021476",406,1.26,322.2222222
"E00021477",460,3.47,132.5648415
"E00021478",333,6.48,51.38888889
"E00021479",411,6.59,62.36722307
"E00021480",303,7.17,42.25941423
"E00021481",413,2.11,195.7345972
"E00021482",455,1.86,244.6236559
"E00021483",600,14.88,40.32258065
"E00021484",364,4.75,76.63157895
"E00021485",330,1.04,317.3076923
"E00021486",387,1.94,199.4845361
"E00021487",220,2.64,83.33333333
"E00021488",444,3.54,125.4237288
"E00021489",346,0.74,467.5675676
"E00021490",306,3.23,94.73684211
"E00021491",285,2.52,113.0952381
"E00021492",372,1.27,292.9133858
"E00021493",481,1.18,407.6271186
"E00021494",546,7.86,69.46564885
"E00021495",609,6.87,88.64628821
"E00021496",360,1.17,307.6923077
"E00021497",517,0.97,532.9896907
"E00021498",389,0.96,405.2083333
"E00021499",310,3.23,95.9752322
"E00021500",319,2.52,126.5873016
"E00021501",304,1.99,152.7638191
"E00021502",375,4.69,79.95735608
"E00021503",393,0.38,1034.210526
"E00021504",399,0.35,1140
"E00021505",312,0.97,321.6494845
"E00021506",317,2.34,135.4700855
"E00021507",376,1.48,254.0540541
"E00021508",395,1.93,204.6632124
"E00021509",517,2.66,194.3609023
"E00021510",240,3.38,71.00591716
"E00021511",205,0.86,238.372093
"E00021516",252,1.31,192.3664122
"E00021517",304,1.36,223.5294118
"E00021518",337,2.23,151.1210762
"E00021519",463,3.39,136.5781711
"E00021520",216,2,108
"E00021521",259,2.07,125.1207729
"E00021522",468,1.76,265.9090909
"E00021524",590,3.26,180.9815951
"E00021525",308,1.58,194.9367089
"E00021526",342,2.34,146.1538462
"E00021527",317,2.24,141.5178571
"E00021528",259,2.56,101.171875
"E00021529",192,0.67,286.5671642
"E00021531",597,1.76,339.2045455
"E00021532",318,1.71,185.9649123
"E00021533",242,0.91,265.9340659
"E00021534",225,1.07,210.2803738
"E00021535",286,2.8,102.1428571
"E00021536",282,1.05,268.5714286
"E00021537",339,1.77,191.5254237
"E00021538",684,2.78,246.0431655
"E00021539",252,0.56,450
"E00021541",229,0.76,301.3157895
"E00021542",218,5.6,38.92857143
"E00021543",270,0.23,1173.913043
"E00021544",180,0.62,290.3225806
"E00021546",196,0.9,217.7777778
"E00021547",278,1.06,262.2641509
"E00021549",386,1.2,321.6666667
"E00021550",403,1.58,255.0632911
"E00021552",241,0.72,334.7222222
"E00021553",349,1.72,202.9069767
"E00021554",259,4.11,63.01703163
"E00021555",447,2.44,183.1967213
"E00021556",285,1.24,229.8387097
"E00021557",340,4.14,82.12560386
"E00021559",338,3.79,89.18205805
"E00021560",431,2.62,164.5038168
"E00021561",278,1.31,212.2137405
