"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E00021141",340,85,4,0,2,4,0,6,2,1,1,197,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"E00021143",393,132,9,0,2,8,1,5,1,1,1,143,3,0,17,8,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0
"E00021145",256,152,16,0,3,2,1,6,0,23,0,9,2,0,1,5,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"E00021146",462,238,11,1,8,2,1,8,1,6,22,23,15,0,6,2,2,8,0,0,0,0,0,0,10,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,1,2,0,0,1,1,11,2,0,1,0,0,3,1,0,0,0,1,0,0,3,1,1,33,0,1,0,0,1,0,0,0,0,4,0,1,0,2,0,0,3,0,0,0,0,0,0
"E00021147",210,129,7,0,0,0,0,1,3,0,0,18,0,0,10,5,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"E00021148",279,126,6,0,8,2,1,5,2,8,4,54,8,0,2,1,0,5,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"E00021149",353,127,6,0,3,10,1,2,1,0,2,148,0,0,14,4,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,7,0,0,0,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00021150",298,125,13,1,0,1,2,7,4,6,0,85,3,0,16,2,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00021151",275,76,5,0,3,0,0,1,2,7,3,138,1,0,7,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0
"E00021152",379,80,2,0,0,5,0,3,1,2,2,209,1,0,19,15,0,1,3,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
