"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00021141",340,21,18,4,22,4,11,17,42,30,60,49,7,25,25,2,3,35.5764705882353,30,6.17647058823529,5.29411764705882,1.17647058823529,6.47058823529412,1.17647058823529,3.23529411764706,5,12.3529411764706,8.82352941176471,17.6470588235294,14.4117647058824,2.05882352941176,7.35294117647059,7.35294117647059,0.588235294117647,0.882352941176471
"E00021143",393,37,12,15,34,10,8,6,42,46,87,52,7,13,15,7,2,31.3358778625954,28,9.4147582697201,3.05343511450382,3.81679389312977,8.65139949109415,2.54452926208651,2.03562340966921,1.52671755725191,10.6870229007634,11.704834605598,22.1374045801527,13.2315521628499,1.78117048346056,3.30788804071247,3.81679389312977,1.78117048346056,0.508905852417303
"E00021145",256,11,5,3,7,2,3,3,19,24,86,59,16,7,9,1,1,38.77734375,38,4.296875,1.953125,1.171875,2.734375,0.78125,1.171875,1.171875,7.421875,9.375,33.59375,23.046875,6.25,2.734375,3.515625,0.390625,0.390625
"E00021146",462,6,1,1,0,1,2,40,165,103,121,12,0,5,5,0,0,27.3419913419913,25.5,1.2987012987013,0.216450216450216,0.216450216450216,0,0.216450216450216,0.432900432900433,8.65800865800866,35.7142857142857,22.2943722943723,26.1904761904762,2.5974025974026,0,1.08225108225108,1.08225108225108,0,0
"E00021147",210,17,5,5,9,5,5,11,15,27,45,42,6,13,3,1,1,34.0190476190476,30.5,8.09523809523809,2.38095238095238,2.38095238095238,4.28571428571429,2.38095238095238,2.38095238095238,5.23809523809524,7.14285714285714,12.8571428571429,21.4285714285714,20,2.85714285714286,6.19047619047619,1.42857142857143,0.476190476190476,0.476190476190476
"E00021148",279,17,5,7,13,4,3,0,33,48,76,36,9,17,6,4,1,34.3727598566308,31,6.09318996415771,1.7921146953405,2.5089605734767,4.6594982078853,1.4336917562724,1.0752688172043,0,11.8279569892473,17.2043010752688,27.2401433691756,12.9032258064516,3.2258064516129,6.09318996415771,2.1505376344086,1.4336917562724,0.3584229390681
"E00021149",353,31,21,16,37,8,7,12,20,34,95,36,13,12,11,0,0,29.1586402266289,28,8.78186968838527,5.94900849858357,4.53257790368272,10.4815864022663,2.26628895184136,1.98300283286119,3.39943342776204,5.6657223796034,9.63172804532578,26.9121813031161,10.1983002832861,3.68271954674221,3.39943342776204,3.11614730878187,0,0
"E00021150",298,20,16,9,17,1,7,2,30,39,77,40,12,16,7,3,2,33.751677852349,31,6.71140939597315,5.36912751677852,3.02013422818792,5.70469798657718,0.335570469798658,2.3489932885906,0.671140939597315,10.0671140939597,13.0872483221477,25.8389261744966,13.4228187919463,4.02684563758389,5.36912751677852,2.3489932885906,1.00671140939597,0.671140939597315
"E00021151",275,8,11,4,29,10,9,8,29,23,51,54,6,14,14,5,0,35.3709090909091,31,2.90909090909091,4,1.45454545454545,10.5454545454545,3.63636363636364,3.27272727272727,2.90909090909091,10.5454545454545,8.36363636363636,18.5454545454545,19.6363636363636,2.18181818181818,5.09090909090909,5.09090909090909,1.81818181818182,0
"E00021152",379,26,13,14,34,5,10,11,40,38,94,53,10,20,7,4,0,31.7255936675462,29,6.86015831134565,3.43007915567282,3.69393139841689,8.97097625329815,1.31926121372032,2.63852242744063,2.9023746701847,10.5540897097625,10.0263852242744,24.802110817942,13.9841688654354,2.63852242744063,5.27704485488127,1.84696569920844,1.05540897097625,0
